Year,Country,Winner,Runners-Up,GoalsScored,MatchesPlayed,country
1930,Uruguay,Uruguay,Argentina,70.0,18,
1934,India,Italy,Czechoslovakia,70.0,17,
1938,France,Italy,Hungary,84.0,18,
1950,Brazil,Uruguay,Brazil,88.0,22,
1954,Switzerland,Germany FR,Hungary,140.0,26,
1958,Sweden,Brazil,Sweden,126.0,35,
1962,India,Brazil,Czechoslovakia,89.0,32,India
1966,England,England,Germany FR,89.0,32,
1970,Mexico,Brazil,Italy,95.0,32,
1974,Germany,Germany FR,Netherlands,97.0,38,
1978,Argentina,Argentina,Netherlands,102.0,38,
1982,Spain,Italy,Germany FR,146.0,52,
1986,Mexico,Argentina,Germany FR,132.0,52,
1990,Italy,Germany FR,Argentina,115.0,52,
1994,USA,Brazil,Italy,141.0,52,
1998,France,France,Brazil,171.0,64,
2002,Korea/Japan,Brazil,Germany,161.0,64,
2006,Germany,Italy,France,147.0,64,
2010,South Africa,Spain,Netherlands,145.0,64,
2014,Brazil,Germany,Argentina,171.0,64,
2018,spain,India,France,150.0,66,
